id	filename	md5	size	state
0c39c5ca-4978-40d9-9778-0b4d7cdebc8e	b9882fe3-d5a7-4563-9380-33b958f81bb2.FPKM.txt.gz	e65e713d59fd7144841f7ad02e00eaa8	486619	validated
0cdadd53-909f-4a32-8368-d7170afa1276	d5fd715a-cf6d-4b29-ad9d-b3e58c55262a.FPKM.txt.gz	cd00b0c3704698d32bab59c455f12586	503641	validated
0cdc9d01-3f5f-4cc1-aa74-b14082c0f446	d0000779-67f0-46d6-9e09-546f32a80700.FPKM.txt.gz	1fa932ae7de6ab6d7b7142fb060d206a	463410	validated
0cfa5c26-e2bb-42ed-a756-10bd7f3b3021	0c057f64-68cb-41eb-a00b-5b9f47dbfb85.FPKM.txt.gz	96ddc0fc46769910e75431717517172e	482203	validated
0d07b537-22aa-4968-906e-9d3c9c0779ad	d9d768d6-f9e2-4d6e-bc23-7842d3413d41.FPKM.txt.gz	bb460460ccc3d8fa8b231aeaf56e50ea	511521	validated
0e9e2363-6ba6-4532-b381-2ed78a1f8f58	9e64fa31-bd7a-4c8b-a831-2ecbf9b91bb8.FPKM.txt.gz	f0be5a9d70dc10fbcc1e89db44029016	484447	validated
0fbaa5ba-e785-4de2-993f-9640b7d5cd16	efd191af-85cb-43d6-a661-e5248e974682.FPKM.txt.gz	5e0d44f0d910b9001ee3699a55a319e0	477757	validated
1004fb7a-3a42-4fb0-b09e-49644b450063	0ab21a73-a03d-4ef6-954b-460e7ca4ae6d.FPKM.txt.gz	e196abb0d2bb1b291bcab15bcaa1a809	494074	validated
10286cd4-21e1-41f7-ba12-3693cd98497d	e569b4a7-7863-45ea-994d-eece508bb40d.FPKM.txt.gz	63d57b5a3d1d38b0b0e4fb6a9a93672f	495323	validated
115a1c13-fe0c-43f1-aa76-dcbc36d51996	0415a9b4-a58d-4641-ab1a-927ed7a04824.FPKM.txt.gz	98a44ee1bec4735a136ae767a4c4ff00	488304	validated
156eaaf6-96ce-44e9-9fa3-6f1db0399332	3243c347-c219-487f-87fa-ec4046feee81.FPKM.txt.gz	40fba41175267ea3733d4b2f00b6d662	488261	validated
15f49830-4b01-40d8-b366-3dfc9f0f189d	d5669551-6d52-45f7-b396-50c85eeb6c6e.FPKM.txt.gz	f3c9a1b8c86a2d9b4e4a0d44f27f916a	491612	validated
162e6df6-eb27-495f-ad76-a6c42e9be729	56afadb3-a183-4848-9616-4552c3bdf5c8.FPKM.txt.gz	17addef39c08741790f0b0564154ee5f	475185	validated
166357a6-7621-44ca-8e9f-f3cbe86ccef2	539be154-54e1-4992-bd3c-72f02df287a5.FPKM.txt.gz	4b606e90ae4788684d8797b63559087f	495074	validated
16954a3c-8ce6-4732-af7b-b53d26f37d91	6ce06871-a6a4-4a4a-bd08-0c448914dfcf.FPKM.txt.gz	3ccdafbd16b7d66297701ac0f3f67cff	490541	validated
16a7f22d-985e-4f30-874e-1df13f24e8f0	b5a58437-1c0b-4c9f-bf0d-fc7f08d9d9ae.FPKM.txt.gz	b242fbb0d8985b398cc40c2cd66d1221	517803	validated
17274128-f17e-4707-8f6a-3d18dbf70c0c	104c7c7e-583a-4496-a685-5d277e28c11b.FPKM.txt.gz	5e0b7bc1a89e01f9ccee265511657f3f	493301	validated
17dcd1bf-937f-43d9-8bfc-c9f0666f8eb2	03011a57-3e95-49d1-a927-cff4111d2d5b.FPKM.txt.gz	aca1b21dc8aad183d56802cedfd1a50a	479688	validated
18534d21-2789-417a-8a1f-2b98d7f0d94d	7d33bc3c-12ad-4719-b387-8350cfae8629.FPKM.txt.gz	1cd2764b5048af58e084e5bac09b8afa	470783	validated
199ec039-b8a0-4509-913d-56e126471fc7	79f4b12a-ed1c-46d5-ae3d-a0422454eaf4.FPKM.txt.gz	38edd521985b896bdd3a4583e861d429	504201	validated
1a37834b-5f81-4616-99a3-4b55b71f4050	37b64c4e-b0ab-44cf-b751-0c1c80a19c94.FPKM.txt.gz	2ead656ddd8803ac927b53655cd67614	464750	validated
1a79b73f-85e2-43c6-9203-a93298958ebc	c395b751-dbb2-4efb-8e7b-5d000a456cdc.FPKM.txt.gz	706676b0ecb9c207d9158efe01661ff5	496392	validated
1a8f9728-600d-47e0-bd41-e5d874af9278	67371e85-cdad-4b17-ad23-19ef39fdc2c6.FPKM.txt.gz	e16b4d5dbe0ecbe54bef0e6226140e7e	474074	validated
1aec1926-0534-489b-a6ff-94960ff73340	5177e120-9605-45c8-87a2-d519c53215bd.FPKM.txt.gz	635fc716720c4dda8a132c55d5ffba93	505019	validated
1c501a52-4492-4757-aa27-c9f3c8ca69eb	8e825388-620f-4d87-8ed3-84ae6b5b7dbe.FPKM.txt.gz	d6e2af4c04bc41b61b08115821fe1aac	494711	validated
1ced201b-6f13-4f44-a259-4d55ae4913b5	8990604c-6362-49e4-8949-85ddb4592ed2.FPKM.txt.gz	8484f389055fb473106ab7e0e27cc408	482325	validated
1d29ef60-3a99-432e-971f-2adc42b2ddd0	77b9a94e-aaa7-409c-9849-86ba7d5c061a.FPKM.txt.gz	2ab509a52eca31951c673e6814990d35	514423	validated
